exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints
649409874,350249,Vip-IRES-Cre,175,628,26,58281
604328043,325932,Slc17a7-IRES2-Cre,375,628,52,56624
556353209,271750,Rbp4-Cre_KL100,375,628,21,56741
627823695,339814,Ntsr1-Cre_GN220,550,628,21,56618
662982346,357433,Vip-IRES-Cre,250,628,10,56751
645689073,345270,Tlx3-Cre_PL56,375,628,184,56759
657776356,354087,Vip-IRES-Cre,275,628,9,56615
613091721,324180,Slc17a7-IRES2-Cre,375,628,35,58291
652094901,355468,Slc17a7-IRES2-Cre,175,628,207,58300
560809202,277933,Nr5a1-Cre,350,628,41,56746
545446482,260936,Emx1-IRES-Cre,175,628,171,56755
502793808,222426,Cux2-CreERT2,175,628,153,56616
581597734,296704,Emx1-IRES-Cre,175,628,189,56626
594320795,311728,Emx1-IRES-Cre,175,628,169,56625
501940850,225039,Cux2-CreERT2,175,628,143,56749
546641574,265164,Rorb-IRES2-Cre,275,628,191,56616
638862121,337438,Nr5a1-Cre,350,628,7,56627
614556106,336246,Vip-IRES-Cre,275,628,8,56759
595273803,309841,Rbp4-Cre_KL100,375,628,75,58279
601705404,317644,Vip-IRES-Cre,275,628,12,56757
662361096,362734,Vip-IRES-Cre,275,628,16,56753
511194579,234589,Rbp4-Cre_KL100,375,628,57,56622
603763073,323528,Sst-IRES-Cre,325,628,22,56756
645086975,348105,Ntsr1-Cre_GN220,550,628,46,56618
662359728,356797,Slc17a7-IRES2-Cre,275,628,92,56762
504853580,222431,Rorb-IRES2-Cre,275,628,126,56757
657078119,357433,Vip-IRES-Cre,175,628,9,56747
581150104,296462,Sst-IRES-Cre,275,628,8,56612
644026238,339312,Rorb-IRES2-Cre,275,628,240,56624
698762886,382138,Ntsr1-Cre_GN220,550,628,167,56618
660510593,360566,Cux2-CreERT2,275,628,125,56621
607063420,327595,Sst-IRES-Cre,275,628,15,56625
652091264,354819,Vip-IRES-Cre,175,628,17,56771
688580172,377321,Sst-IRES-Cre,275,628,17,56617
601273921,316777,Sst-IRES-Cre,275,628,12,56765
613968705,332396,Sst-IRES-Cre,375,628,15,56762
